Date,Open,High,Low,Close,Volume
06/28/2023,"174.12","176.08","173.66","175.66","2,746,443"
06/27/2023,"173.39","175.49","172.47","174.67","2,711,553"
06/26/2023,"169.22","173.04","169.22","172.75","3,763,109"
06/23/2023,"169.60","171.16","168.71","169.29","11,278,590"
06/22/2023,"172.16","173.50","170.96","171.38","4,192,807"
06/21/2023,"174.13","176.59","172.87","173.63","4,935,490"
06/20/2023,"176.46","178.68","176.46","177.27","3,088,520"
06/16/2023,"179.99","180.27","176.10","178.58","8,469,269"
06/15/2023,"175.46","179.30","175.42","179.00","4,162,854"
06/14/2023,"173.66","176.70","173.09","174.88","4,476,124"
06/13/2023,"171.31","173.38","171.11","172.89","3,527,973"
06/12/2023,"170.84","171.82","170.03","171.50","2,795,236"
06/09/2023,"171.00","171.38","169.56","170.49","2,838,567"
06/08/2023,"171.48","171.62","169.63","171.48","3,676,419"
06/07/2023,"167.35","171.67","166.90","171.50","3,435,606"
06/06/2023,"166.51","168.66","166.18","167.59","2,521,998"
06/05/2023,"169.95","169.95","167.62","167.85","2,507,273"
06/02/2023,"168.76","170.94","167.93","170.14","2,752,177"
06/01/2023,"167.51","168.92","166.21","167.83","2,525,005"
05/31/2023,"169.06","169.22","166.30","167.00","5,106,097"
05/30/2023,"171.69","171.84","168.92","169.76","2,542,214"
05/26/2023,"171.73","172.91","171.18","171.57","2,292,008"
05/25/2023,"168.58","172.08","168.17","171.23","2,977,043"
05/24/2023,"168.85","169.66","167.45","167.72","2,410,563"
05/23/2023,"170.59","172.26","169.25","169.79","2,660,616"
05/22/2023,"171.61","171.85","169.32","171.51","2,675,560"
05/19/2023,"171.13","171.46","169.37","170.93","2,350,155"
05/18/2023,"171.64","173.42","169.76","171.04","2,747,385"
05/17/2023,"167.69","171.77","166.71","171.36","3,882,431"
05/16/2023,"167.49","167.83","166.15","166.61","3,459,177"
05/15/2023,"167.56","168.92","166.26","168.85","3,048,413"
05/12/2023,"169.11","169.86","166.88","168.50","3,346,831"
05/11/2023,"171.53","171.75","169.18","170.23","3,136,608"
05/10/2023,"173.73","173.98","169.85","171.57","3,233,338"
05/09/2023,"172.87","173.80","172.15","173.01","2,180,685"
05/08/2023,"175.91","176.36","173.60","174.39","2,589,144"
05/05/2023,"175.18","176.29","173.80","175.74","2,775,271"
05/04/2023,"174.55","174.94","172.86","173.29","3,495,232"
05/03/2023,"177.50","178.00","175.50","175.83","3,825,246"
05/02/2023,"180.70","180.77","177.68","177.84","3,527,750"
05/01/2023,"179.95","182.69","179.67","182.20","2,807,893"
04/28/2023,"176.84","180.48","176.51","179.81","3,440,757"
04/27/2023,"172.76","178.16","172.19","177.76","4,679,013"
04/26/2023,"175.23","177.06","172.13","172.57","5,845,607"
04/25/2023,"182.67","183.00","176.22","176.29","12,474,850"
04/24/2023,"195.36","197.31","194.73","195.85","3,689,112"
04/21/2023,"194.87","196.50","193.61","195.21","3,371,885"
04/20/2023,"195.87","197.80","194.12","194.98","3,336,293"
04/19/2023,"194.28","196.22","194.11","196.03","2,652,204"
04/18/2023,"193.58","194.67","192.88","194.12","2,461,589"
04/17/2023,"193.22","194.38","192.58","193.29","1,920,462"
04/14/2023,"191.00","193.02","190.25","192.87","2,034,960"
04/13/2023,"190.92","191.60","188.54","191.00","2,355,589"
04/12/2023,"192.50","194.04","189.02","189.85","3,729,104"
04/11/2023,"190.50","193.10","189.59","192.45","2,844,581"
04/10/2023,"187.42","190.55","186.78","190.26","2,158,050"
04/06/2023,"188.33","189.56","186.53","188.58","2,206,234"
04/05/2023,"189.84","191.89","189.35","189.40","2,718,297"
04/04/2023,"194.67","194.88","189.93","190.61","2,498,853"
04/03/2023,"192.83","193.75","191.32","193.72","2,735,242"
03/31/2023,"191.93","194.12","190.93","193.99","2,571,248"
03/30/2023,"191.89","192.20","189.19","191.09","2,075,292"
03/29/2023,"189.52","191.50","188.86","191.47","2,546,224"
03/28/2023,"187.42","189.16","186.35","187.73","1,850,203"
03/27/2023,"187.39","187.96","185.53","187.32","2,283,386"
03/24/2023,"185.09","186.41","183.72","186.07","2,586,752"
03/23/2023,"184.78","188.59","183.45","185.29","2,901,741"
03/22/2023,"186.50","189.62","185.32","185.54","2,758,367"
03/21/2023,"184.62","186.84","183.80","186.79","2,965,635"
03/20/2023,"186.26","186.82","181.57","183.49","3,974,343"
03/17/2023,"189.95","191.94","185.46","186.79","20,535,900"
03/16/2023,"183.55","188.77","183.55","187.92","4,719,435"
03/15/2023,"181.42","184.95","180.97","184.36","4,306,742"
03/14/2023,"185.15","187.83","182.26","185.06","4,892,221"
03/13/2023,"179.07","183.86","178.21","182.23","4,435,913"
03/10/2023,"182.69","184.32","179.53","181.54","3,442,847"
03/09/2023,"185.63","187.63","182.50","182.88","2,497,496"
03/08/2023,"183.18","184.58","182.28","184.30","2,277,952"
03/07/2023,"185.19","185.99","182.70","183.27","2,822,368"
03/06/2023,"185.45","187.67","185.36","186.51","2,419,460"
03/03/2023,"186.25","186.69","184.62","185.68","2,499,639"
03/02/2023,"182.82","185.12","181.78","184.68","2,334,521"
03/01/2023,"181.93","184.75","181.55","183.08","2,307,530"
02/28/2023,"181.20","183.81","181.13","182.49","3,703,052"
02/27/2023,"181.88","183.49","181.03","182.23","2,925,366"
02/24/2023,"178.78","181.14","177.75","180.15","2,674,392"
02/23/2023,"177.94","180.28","177.85","179.94","2,341,187"
02/22/2023,"178.37","179.44","176.09","176.61","2,376,997"
02/21/2023,"179.18","179.57","176.13","178.46","3,994,806"
02/17/2023,"183.11","184.01","181.35","183.21","2,510,180"
02/16/2023,"185.15","186.78","183.12","185.55","2,633,186"
02/15/2023,"185.62","187.04","185.03","186.84","1,750,601"
02/14/2023,"186.20","187.84","184.97","186.77","1,876,458"
02/13/2023,"184.75","187.46","183.22","187.41","2,481,436"
02/10/2023,"183.45","185.59","182.56","185.22","2,533,948"
02/09/2023,"186.04","187.52","184.56","184.75","2,135,717"
02/08/2023,"186.73","188.20","186.00","186.36","1,970,048"
02/07/2023,"187.87","189.21","185.79","188.29","2,037,849"
02/06/2023,"190.00","190.58","188.18","188.76","2,243,357"
02/03/2023,"189.06","192.25","187.25","191.66","2,766,408"
02/02/2023,"186.03","193.71","186.02","191.29","4,996,140"
02/01/2023,"184.68","185.83","180.80","184.98","4,005,165"
01/31/2023,"178.77","186.08","178.77","185.23","6,872,089"
01/30/2023,"180.71","181.85","176.39","176.97","4,593,318"
01/27/2023,"179.60","183.83","178.80","182.09","2,831,795"
01/26/2023,"178.63","179.78","176.05","179.70","1,627,001"
01/25/2023,"178.01","178.02","174.91","177.46","1,722,176"
01/24/2023,"177.54","181.38","177.48","179.99","1,958,413"
01/23/2023,"178.51","181.71","177.21","180.48","2,240,062"
01/20/2023,"176.74","178.19","175.12","178.13","2,296,408"
01/19/2023,"176.16","177.22","173.66","176.15","2,711,764"
01/18/2023,"178.80","180.55","176.46","176.72","3,085,283"
01/17/2023,"181.62","182.38","178.87","179.00","2,703,314"
01/13/2023,"182.18","183.25","180.77","182.15","2,078,273"
01/12/2023,"183.47","183.70","180.68","182.95","1,832,262"
01/11/2023,"179.53","182.46","178.99","182.23","2,674,711"
01/10/2023,"181.31","181.56","177.26","178.77","2,324,238"
01/09/2023,"179.22","183.64","178.98","181.69","3,214,745"
01/06/2023,"175.63","179.54","174.29","178.95","3,690,149"
01/05/2023,"174.88","175.91","173.33","173.84","2,736,857"
01/04/2023,"176.45","177.87","175.20","177.11","1,965,095"
